,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-21 04:24:14,2790,117,2642
1,132,Antioquia,Colombia,2020-10-21 04:24:14,146086,2878,133985
2,133,Arauca,Colombia,2020-10-21 04:24:14,2664,79,2329
3,134,Atlantico,Colombia,2020-10-21 04:24:14,69991,3110,65648
4,135,Bolivar,Colombia,2020-10-21 04:24:14,31554,820,30052
5,136,Boyaca,Colombia,2020-10-21 04:24:14,11287,238,9384
6,137,Caldas,Colombia,2020-10-21 04:24:14,9857,215,7823
7,138,Capital District,Colombia,2020-10-21 04:24:14,299713,7345,269155
8,139,Caqueta,Colombia,2020-10-21 04:24:14,10428,367,9199
9,140,Casanare,Colombia,2020-10-21 04:24:14,3957,71,3068
10,141,Cauca,Colombia,2020-10-21 04:24:14,12000,333,10415
11,142,Cesar,Colombia,2020-10-21 04:24:14,23894,743,21208
12,143,Choco,Colombia,2020-10-21 04:24:14,4114,160,3858
13,144,Cordoba,Colombia,2020-10-21 04:24:14,25510,1601,22854
14,145,Cundinamarca,Colombia,2020-10-21 04:24:14,38879,1135,35492
15,146,Guainia,Colombia,2020-10-21 04:24:14,1094,18,1022
16,147,Guaviare,Colombia,2020-10-21 04:24:14,1274,21,1120
17,148,Huila,Colombia,2020-10-21 04:24:14,18256,524,15468
18,149,La Guajira,Colombia,2020-10-21 04:24:14,9302,377,8479
19,150,Magdalena,Colombia,2020-10-21 04:24:14,16529,872,14986
20,151,Meta,Colombia,2020-10-21 04:24:14,20458,487,18633
21,152,Narino,Colombia,2020-10-21 04:24:14,20509,741,18490
22,153,Norte de Santander,Colombia,2020-10-21 04:24:14,19104,1007,16998
23,154,Putumayo,Colombia,2020-10-21 04:24:14,4199,194,3689
24,155,Quindio,Colombia,2020-10-21 04:24:14,7305,178,5738
25,156,Risaralda,Colombia,2020-10-21 04:24:14,15106,338,13218
26,157,San Andres y Providencia,Colombia,2020-10-21 04:24:14,1777,28,1592
27,158,Santander,Colombia,2020-10-21 04:24:14,38175,1554,33327
28,159,Sucre,Colombia,2020-10-21 04:24:14,15188,606,14071
29,160,Tolima,Colombia,2020-10-21 04:24:14,16230,492,14171
30,161,Unknown,Colombia,2020-10-21 04:24:14,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-21 04:24:14,75172,2603,66949
32,163,Vaupes,Colombia,2020-10-21 04:24:14,990,12,953
33,164,Vichada,Colombia,2020-10-21 04:24:14,747,8,715
