,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-16 04:24:01,2757,117,2628
1,132,Antioquia,Colombia,2020-10-16 04:24:01,137953,2772,121362
2,133,Arauca,Colombia,2020-10-16 04:24:01,2432,68,1959
3,134,Atlantico,Colombia,2020-10-16 04:24:01,69377,3097,64882
4,135,Bolivar,Colombia,2020-10-16 04:24:01,31009,811,29296
5,136,Boyaca,Colombia,2020-10-16 04:24:01,10288,210,7815
6,137,Caldas,Colombia,2020-10-16 04:24:01,8491,181,6429
7,138,Capital District,Colombia,2020-10-16 04:24:01,292964,7212,261261
8,139,Caqueta,Colombia,2020-10-16 04:24:01,9942,348,8691
9,140,Casanare,Colombia,2020-10-16 04:24:01,3520,63,2504
10,141,Cauca,Colombia,2020-10-16 04:24:01,11434,309,9532
11,142,Cesar,Colombia,2020-10-16 04:24:01,22968,713,19960
12,143,Choco,Colombia,2020-10-16 04:24:01,4081,159,3821
13,144,Cordoba,Colombia,2020-10-16 04:24:01,25254,1590,22386
14,145,Cundinamarca,Colombia,2020-10-16 04:24:01,37660,1105,33622
15,146,Guainia,Colombia,2020-10-16 04:24:01,1043,17,968
16,147,Guaviare,Colombia,2020-10-16 04:24:01,1172,20,975
17,148,Huila,Colombia,2020-10-16 04:24:01,16348,488,13301
18,149,La Guajira,Colombia,2020-10-16 04:24:01,9074,363,8102
19,150,Magdalena,Colombia,2020-10-16 04:24:01,16258,866,14609
20,151,Meta,Colombia,2020-10-16 04:24:01,19321,480,17156
21,152,Narino,Colombia,2020-10-16 04:24:01,19852,728,17528
22,153,Norte de Santander,Colombia,2020-10-16 04:24:01,18315,987,15892
23,154,Putumayo,Colombia,2020-10-16 04:24:01,4073,190,3539
24,155,Quindio,Colombia,2020-10-16 04:24:01,6188,148,4405
25,156,Risaralda,Colombia,2020-10-16 04:24:01,13779,307,11753
26,157,San Andres y Providencia,Colombia,2020-10-16 04:24:01,1706,23,1516
27,158,Santander,Colombia,2020-10-16 04:24:01,36441,1501,30697
28,159,Sucre,Colombia,2020-10-16 04:24:01,14887,599,13714
29,160,Tolima,Colombia,2020-10-16 04:24:01,15054,451,12835
30,161,Unknown,Colombia,2020-10-16 04:24:01,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-16 04:24:01,71661,2515,62127
32,163,Vaupes,Colombia,2020-10-16 04:24:01,958,12,911
33,164,Vichada,Colombia,2020-10-16 04:24:01,722,7,655
