,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-24 04:24:46,2878,117,2741
1,132,Antioquia,Colombia,2020-10-24 04:24:46,151420,2963,138999
2,133,Arauca,Colombia,2020-10-24 04:24:46,2916,84,2520
3,134,Atlantico,Colombia,2020-10-24 04:24:46,70507,3114,66120
4,135,Bolivar,Colombia,2020-10-24 04:24:46,31842,829,30382
5,136,Boyaca,Colombia,2020-10-24 04:24:46,12076,251,10279
6,137,Caldas,Colombia,2020-10-24 04:24:46,10782,227,8689
7,138,Capital District,Colombia,2020-10-24 04:24:46,306114,7432,273138
8,139,Caqueta,Colombia,2020-10-24 04:24:46,10691,376,9476
9,140,Casanare,Colombia,2020-10-24 04:24:46,4324,73,3445
10,141,Cauca,Colombia,2020-10-24 04:24:46,12275,347,10886
11,142,Cesar,Colombia,2020-10-24 04:24:46,24275,761,21746
12,143,Choco,Colombia,2020-10-24 04:24:46,4133,160,3874
13,144,Cordoba,Colombia,2020-10-24 04:24:46,25821,1608,23208
14,145,Cundinamarca,Colombia,2020-10-24 04:24:46,39908,1150,36604
15,146,Guainia,Colombia,2020-10-24 04:24:46,1103,18,1061
16,147,Guaviare,Colombia,2020-10-24 04:24:46,1319,21,1200
17,148,Huila,Colombia,2020-10-24 04:24:46,19288,553,16820
18,149,La Guajira,Colombia,2020-10-24 04:24:46,9436,382,8614
19,150,Magdalena,Colombia,2020-10-24 04:24:46,16759,883,15207
20,151,Meta,Colombia,2020-10-24 04:24:46,20939,493,19305
21,152,Narino,Colombia,2020-10-24 04:24:46,20914,751,18929
22,153,Norte de Santander,Colombia,2020-10-24 04:24:46,19723,1027,17674
23,154,Putumayo,Colombia,2020-10-24 04:24:46,4251,196,3755
24,155,Quindio,Colombia,2020-10-24 04:24:46,7826,201,6490
25,156,Risaralda,Colombia,2020-10-24 04:24:46,15708,351,13990
26,157,San Andres y Providencia,Colombia,2020-10-24 04:24:46,1814,29,1722
27,158,Santander,Colombia,2020-10-24 04:24:46,39224,1593,34586
28,159,Sucre,Colombia,2020-10-24 04:24:46,15131,607,14085
29,160,Tolima,Colombia,2020-10-24 04:24:46,16832,521,14948
30,161,Unknown,Colombia,2020-10-24 04:24:46,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-24 04:24:46,76958,2663,69451
32,163,Vaupes,Colombia,2020-10-24 04:24:46,1002,12,976
33,164,Vichada,Colombia,2020-10-24 04:24:46,753,9,732
