,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-22 04:24:27,2876,117,2651
1,132,Antioquia,Colombia,2020-10-22 04:24:27,147450,2911,135903
2,133,Arauca,Colombia,2020-10-22 04:24:27,2688,80,2384
3,134,Atlantico,Colombia,2020-10-22 04:24:27,70142,3113,65775
4,135,Bolivar,Colombia,2020-10-22 04:24:27,31648,821,30169
5,136,Boyaca,Colombia,2020-10-22 04:24:27,11482,241,9668
6,137,Caldas,Colombia,2020-10-22 04:24:27,10093,220,8115
7,138,Capital District,Colombia,2020-10-22 04:24:27,302268,7368,270432
8,139,Caqueta,Colombia,2020-10-22 04:24:27,10506,373,9276
9,140,Casanare,Colombia,2020-10-22 04:24:27,4055,72,3155
10,141,Cauca,Colombia,2020-10-22 04:24:27,12115,339,10589
11,142,Cesar,Colombia,2020-10-22 04:24:27,24051,750,21338
12,143,Choco,Colombia,2020-10-22 04:24:27,4118,160,3865
13,144,Cordoba,Colombia,2020-10-22 04:24:27,25600,1604,22922
14,145,Cundinamarca,Colombia,2020-10-22 04:24:27,39150,1139,35875
15,146,Guainia,Colombia,2020-10-22 04:24:27,1094,18,1029
16,147,Guaviare,Colombia,2020-10-22 04:24:27,1292,21,1151
17,148,Huila,Colombia,2020-10-22 04:24:27,18502,535,15955
18,149,La Guajira,Colombia,2020-10-22 04:24:27,9334,379,8517
19,150,Magdalena,Colombia,2020-10-22 04:24:27,16581,876,15035
20,151,Meta,Colombia,2020-10-22 04:24:27,20562,488,18816
21,152,Narino,Colombia,2020-10-22 04:24:27,20613,744,18626
22,153,Norte de Santander,Colombia,2020-10-22 04:24:27,19278,1011,17200
23,154,Putumayo,Colombia,2020-10-22 04:24:27,4212,195,3727
24,155,Quindio,Colombia,2020-10-22 04:24:27,7403,190,5938
25,156,Risaralda,Colombia,2020-10-22 04:24:27,15318,341,13465
26,157,San Andres y Providencia,Colombia,2020-10-22 04:24:27,1801,29,1610
27,158,Santander,Colombia,2020-10-22 04:24:27,38379,1569,33713
28,159,Sucre,Colombia,2020-10-22 04:24:27,15205,606,14125
29,160,Tolima,Colombia,2020-10-22 04:24:27,16378,509,14455
30,161,Unknown,Colombia,2020-10-22 04:24:27,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-22 04:24:27,75764,2625,67739
32,163,Vaupes,Colombia,2020-10-22 04:24:27,992,12,958
33,164,Vichada,Colombia,2020-10-22 04:24:27,750,8,719
