,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-03 04:23:40,2744,117,2615
1,132,Antioquia,Colombia,2020-10-03 04:23:40,117083,2464,107822
2,133,Arauca,Colombia,2020-10-03 04:23:40,1842,53,1598
3,134,Atlantico,Colombia,2020-10-03 04:23:40,67748,3074,63828
4,135,Bolivar,Colombia,2020-10-03 04:23:40,29305,780,27856
5,136,Boyaca,Colombia,2020-10-03 04:23:40,7683,157,6444
6,137,Caldas,Colombia,2020-10-03 04:23:40,6144,135,5208
7,138,Capital District,Colombia,2020-10-03 04:23:40,271929,6855,238639
8,139,Caqueta,Colombia,2020-10-03 04:23:40,8598,305,7744
9,140,Casanare,Colombia,2020-10-03 04:23:40,2512,51,1999
10,141,Cauca,Colombia,2020-10-03 04:23:40,9724,274,8450
11,142,Cesar,Colombia,2020-10-03 04:23:40,20511,630,17859
12,143,Choco,Colombia,2020-10-03 04:23:40,4023,157,3774
13,144,Cordoba,Colombia,2020-10-03 04:23:40,24187,1550,21538
14,145,Cundinamarca,Colombia,2020-10-03 04:23:40,34043,1018,30996
15,146,Guainia,Colombia,2020-10-03 04:23:40,933,14,804
16,147,Guaviare,Colombia,2020-10-03 04:23:40,874,17,727
17,148,Huila,Colombia,2020-10-03 04:23:40,12213,382,10491
18,149,La Guajira,Colombia,2020-10-03 04:23:40,8230,314,7443
19,150,Magdalena,Colombia,2020-10-03 04:23:40,15470,841,13938
20,151,Meta,Colombia,2020-10-03 04:23:40,16469,428,15116
21,152,Narino,Colombia,2020-10-03 04:23:40,18602,691,16773
22,153,Norte de Santander,Colombia,2020-10-03 04:23:40,16172,912,14296
23,154,Putumayo,Colombia,2020-10-03 04:23:40,3822,176,3348
24,155,Quindio,Colombia,2020-10-03 04:23:40,4014,108,3188
25,156,Risaralda,Colombia,2020-10-03 04:23:40,11527,260,10128
26,157,San Andres y Providencia,Colombia,2020-10-03 04:23:40,1497,16,1140
27,158,Santander,Colombia,2020-10-03 04:23:40,31776,1341,27608
28,159,Sucre,Colombia,2020-10-03 04:23:40,14127,584,13168
29,160,Tolima,Colombia,2020-10-03 04:23:40,12593,351,11258
30,161,Unknown,Colombia,2020-10-03 04:23:40,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-03 04:23:40,63784,2326,56917
32,163,Vaupes,Colombia,2020-10-03 04:23:40,820,11,734
33,164,Vichada,Colombia,2020-10-03 04:23:40,533,5,506
