,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-08 04:23:56,2748,117,2616
1,132,Antioquia,Colombia,2020-10-08 04:23:56,122871,2568,109409
2,133,Arauca,Colombia,2020-10-08 04:23:56,1977,59,1661
3,134,Atlantico,Colombia,2020-10-08 04:23:56,68465,3080,64015
4,135,Bolivar,Colombia,2020-10-08 04:23:56,30118,793,28254
5,136,Boyaca,Colombia,2020-10-08 04:23:56,8518,176,6735
6,137,Caldas,Colombia,2020-10-08 04:23:56,6924,151,5413
7,138,Capital District,Colombia,2020-10-08 04:23:56,281534,6982,250187
8,139,Caqueta,Colombia,2020-10-08 04:23:56,9259,321,7868
9,140,Casanare,Colombia,2020-10-08 04:23:56,2858,57,2110
10,141,Cauca,Colombia,2020-10-08 04:23:56,10482,292,8635
11,142,Cesar,Colombia,2020-10-08 04:23:56,21593,672,18179
12,143,Choco,Colombia,2020-10-08 04:23:56,4050,158,3780
13,144,Cordoba,Colombia,2020-10-08 04:23:56,24688,1569,21707
14,145,Cundinamarca,Colombia,2020-10-08 04:23:56,35503,1044,31531
15,146,Guainia,Colombia,2020-10-08 04:23:56,992,16,860
16,147,Guaviare,Colombia,2020-10-08 04:23:56,1038,19,802
17,148,Huila,Colombia,2020-10-08 04:23:56,13564,428,10949
18,149,La Guajira,Colombia,2020-10-08 04:23:56,8562,335,7539
19,150,Magdalena,Colombia,2020-10-08 04:23:56,15705,858,14030
20,151,Meta,Colombia,2020-10-08 04:23:56,17719,442,15410
21,152,Narino,Colombia,2020-10-08 04:23:56,19084,708,16881
22,153,Norte de Santander,Colombia,2020-10-08 04:23:56,17077,945,14700
23,154,Putumayo,Colombia,2020-10-08 04:23:56,3957,181,3385
24,155,Quindio,Colombia,2020-10-08 04:23:56,4817,126,3409
25,156,Risaralda,Colombia,2020-10-08 04:23:56,12357,283,10460
26,157,San Andres y Providencia,Colombia,2020-10-08 04:23:56,1545,17,1298
27,158,Santander,Colombia,2020-10-08 04:23:56,33510,1404,28166
28,159,Sucre,Colombia,2020-10-08 04:23:56,14396,586,13218
29,160,Tolima,Colombia,2020-10-08 04:23:56,13497,381,11479
30,161,Unknown,Colombia,2020-10-08 04:23:56,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-08 04:23:56,66796,2395,57954
32,163,Vaupes,Colombia,2020-10-08 04:23:56,869,12,819
33,164,Vichada,Colombia,2020-10-08 04:23:56,611,5,514
