,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-04 04:23:44,2746,117,2615
1,132,Antioquia,Colombia,2020-10-04 04:23:44,118115,2486,108362
2,133,Arauca,Colombia,2020-10-04 04:23:44,1910,55,1619
3,134,Atlantico,Colombia,2020-10-04 04:23:44,67859,3076,63887
4,135,Bolivar,Colombia,2020-10-04 04:23:44,29376,783,27914
5,136,Boyaca,Colombia,2020-10-04 04:23:44,7800,160,6609
6,137,Caldas,Colombia,2020-10-04 04:23:44,6360,141,5289
7,138,Capital District,Colombia,2020-10-04 04:23:44,273481,6874,239144
8,139,Caqueta,Colombia,2020-10-04 04:23:44,8730,308,7820
9,140,Casanare,Colombia,2020-10-04 04:23:44,2581,51,2062
10,141,Cauca,Colombia,2020-10-04 04:23:44,9911,278,8534
11,142,Cesar,Colombia,2020-10-04 04:23:44,20720,636,18029
12,143,Choco,Colombia,2020-10-04 04:23:44,4030,157,3776
13,144,Cordoba,Colombia,2020-10-04 04:23:44,24291,1554,21561
14,145,Cundinamarca,Colombia,2020-10-04 04:23:44,34300,1026,31241
15,146,Guainia,Colombia,2020-10-04 04:23:44,950,15,831
16,147,Guaviare,Colombia,2020-10-04 04:23:44,887,18,748
17,148,Huila,Colombia,2020-10-04 04:23:44,12496,387,10704
18,149,La Guajira,Colombia,2020-10-04 04:23:44,8280,318,7481
19,150,Magdalena,Colombia,2020-10-04 04:23:44,15533,846,13999
20,151,Meta,Colombia,2020-10-04 04:23:44,16605,433,15202
21,152,Narino,Colombia,2020-10-04 04:23:44,18732,692,16851
22,153,Norte de Santander,Colombia,2020-10-04 04:23:44,16305,920,14557
23,154,Putumayo,Colombia,2020-10-04 04:23:44,3863,177,3353
24,155,Quindio,Colombia,2020-10-04 04:23:44,4153,114,3283
25,156,Risaralda,Colombia,2020-10-04 04:23:44,11674,268,10232
26,157,San Andres y Providencia,Colombia,2020-10-04 04:23:44,1505,16,1231
27,158,Santander,Colombia,2020-10-04 04:23:44,32298,1351,27831
28,159,Sucre,Colombia,2020-10-04 04:23:44,14158,584,13185
29,160,Tolima,Colombia,2020-10-04 04:23:44,12644,359,11348
30,161,Unknown,Colombia,2020-10-04 04:23:44,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-04 04:23:44,64462,2340,57222
32,163,Vaupes,Colombia,2020-10-04 04:23:44,836,11,775
33,164,Vichada,Colombia,2020-10-04 04:23:44,556,5,506
