,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-06 04:23:33,2747,117,2616
1,132,Antioquia,Colombia,2020-10-06 04:23:33,120542,2524,109137
2,133,Arauca,Colombia,2020-10-06 04:23:33,1956,56,1649
3,134,Atlantico,Colombia,2020-10-06 04:23:33,68148,3079,63950
4,135,Bolivar,Colombia,2020-10-06 04:23:33,29737,787,28027
5,136,Boyaca,Colombia,2020-10-06 04:23:33,8139,169,6682
6,137,Caldas,Colombia,2020-10-06 04:23:33,6609,143,5355
7,138,Capital District,Colombia,2020-10-06 04:23:33,276839,6917,244201
8,139,Caqueta,Colombia,2020-10-06 04:23:33,8946,314,7842
9,140,Casanare,Colombia,2020-10-06 04:23:33,2673,56,2096
10,141,Cauca,Colombia,2020-10-06 04:23:33,10196,286,8620
11,142,Cesar,Colombia,2020-10-06 04:23:33,21231,656,18124
12,143,Choco,Colombia,2020-10-06 04:23:33,4042,158,3779
13,144,Cordoba,Colombia,2020-10-06 04:23:33,24478,1565,21694
14,145,Cundinamarca,Colombia,2020-10-06 04:23:33,34887,1040,31452
15,146,Guainia,Colombia,2020-10-06 04:23:33,963,16,854
16,147,Guaviare,Colombia,2020-10-06 04:23:33,979,18,783
17,148,Huila,Colombia,2020-10-06 04:23:33,13032,405,10894
18,149,La Guajira,Colombia,2020-10-06 04:23:33,8432,326,7535
19,150,Magdalena,Colombia,2020-10-06 04:23:33,15622,855,14022
20,151,Meta,Colombia,2020-10-06 04:23:33,17177,438,15327
21,152,Narino,Colombia,2020-10-06 04:23:33,18947,698,16910
22,153,Norte de Santander,Colombia,2020-10-06 04:23:33,16677,930,14636
23,154,Putumayo,Colombia,2020-10-06 04:23:33,3914,179,3379
24,155,Quindio,Colombia,2020-10-06 04:23:33,4382,119,3367
25,156,Risaralda,Colombia,2020-10-06 04:23:33,11993,274,10352
26,157,San Andres y Providencia,Colombia,2020-10-06 04:23:33,1507,16,1289
27,158,Santander,Colombia,2020-10-06 04:23:33,32808,1372,28075
28,159,Sucre,Colombia,2020-10-06 04:23:33,14256,584,13201
29,160,Tolima,Colombia,2020-10-06 04:23:33,13099,364,11436
30,161,Unknown,Colombia,2020-10-06 04:23:33,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-06 04:23:33,65733,2367,57711
32,163,Vaupes,Colombia,2020-10-06 04:23:33,863,11,797
33,164,Vichada,Colombia,2020-10-06 04:23:33,604,5,508
