,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-10 04:23:57,2750,117,2618
1,132,Antioquia,Colombia,2020-10-10 04:23:57,127128,2592,109910
2,133,Arauca,Colombia,2020-10-10 04:23:57,2156,62,1666
3,134,Atlantico,Colombia,2020-10-10 04:23:57,68692,3080,64076
4,135,Bolivar,Colombia,2020-10-10 04:23:57,30413,795,28286
5,136,Boyaca,Colombia,2020-10-10 04:23:57,8923,177,6821
6,137,Caldas,Colombia,2020-10-10 04:23:57,7410,157,5465
7,138,Capital District,Colombia,2020-10-10 04:23:57,284824,7015,251863
8,139,Caqueta,Colombia,2020-10-10 04:23:57,9485,328,7902
9,140,Casanare,Colombia,2020-10-10 04:23:57,2969,57,2128
10,141,Cauca,Colombia,2020-10-10 04:23:57,10651,295,8681
11,142,Cesar,Colombia,2020-10-10 04:23:57,21958,675,18265
12,143,Choco,Colombia,2020-10-10 04:23:57,4056,158,3780
13,144,Cordoba,Colombia,2020-10-10 04:23:57,24821,1571,21721
14,145,Cundinamarca,Colombia,2020-10-10 04:23:57,36080,1051,31669
15,146,Guainia,Colombia,2020-10-10 04:23:57,1021,16,867
16,147,Guaviare,Colombia,2020-10-10 04:23:57,1054,19,806
17,148,Huila,Colombia,2020-10-10 04:23:57,14190,432,11041
18,149,La Guajira,Colombia,2020-10-10 04:23:57,8701,337,7547
19,150,Magdalena,Colombia,2020-10-10 04:23:57,15867,862,14052
20,151,Meta,Colombia,2020-10-10 04:23:57,18150,447,15471
21,152,Narino,Colombia,2020-10-10 04:23:57,19291,710,16941
22,153,Norte de Santander,Colombia,2020-10-10 04:23:57,17426,950,14748
23,154,Putumayo,Colombia,2020-10-10 04:23:57,3984,183,3390
24,155,Quindio,Colombia,2020-10-10 04:23:57,5031,132,3436
25,156,Risaralda,Colombia,2020-10-10 04:23:57,12847,285,10522
26,157,San Andres y Providencia,Colombia,2020-10-10 04:23:57,1579,20,1303
27,158,Santander,Colombia,2020-10-10 04:23:57,34574,1412,28312
28,159,Sucre,Colombia,2020-10-10 04:23:57,14531,590,13267
29,160,Tolima,Colombia,2020-10-10 04:23:57,13950,384,11530
30,161,Unknown,Colombia,2020-10-10 04:23:57,0,164,2889
31,162,Valle del Cauca,Colombia,2020-10-10 04:23:57,68231,2405,58240
32,163,Vaupes,Colombia,2020-10-10 04:23:57,892,12,820
33,164,Vichada,Colombia,2020-10-10 04:23:57,665,5,514
