,Unnamed: 0,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
0,131,Amazonas,Colombia,2020-10-25 04:24:36,2882,117,2743
1,132,Antioquia,Colombia,2020-10-25 04:24:36,153283,2997,140382
2,133,Arauca,Colombia,2020-10-25 04:24:36,2951,88,2612
3,134,Atlantico,Colombia,2020-10-25 04:24:36,70617,3114,66237
4,135,Bolivar,Colombia,2020-10-25 04:24:36,31906,830,30463
5,136,Boyaca,Colombia,2020-10-25 04:24:36,12225,258,10442
6,137,Caldas,Colombia,2020-10-25 04:24:36,11194,232,8852
7,138,Capital District,Colombia,2020-10-25 04:24:36,308645,7457,273931
8,139,Caqueta,Colombia,2020-10-25 04:24:36,10756,380,9558
9,140,Casanare,Colombia,2020-10-25 04:24:36,4407,79,3520
10,141,Cauca,Colombia,2020-10-25 04:24:36,12349,353,10979
11,142,Cesar,Colombia,2020-10-25 04:24:36,24452,764,21891
12,143,Choco,Colombia,2020-10-25 04:24:36,4140,161,3879
13,144,Cordoba,Colombia,2020-10-25 04:24:36,25887,1608,23262
14,145,Cundinamarca,Colombia,2020-10-25 04:24:36,40229,1161,36828
15,146,Guainia,Colombia,2020-10-25 04:24:36,1107,18,1066
16,147,Guaviare,Colombia,2020-10-25 04:24:36,1330,21,1215
17,148,Huila,Colombia,2020-10-25 04:24:36,19509,561,17107
18,149,La Guajira,Colombia,2020-10-25 04:24:36,9467,388,8668
19,150,Magdalena,Colombia,2020-10-25 04:24:36,16801,885,15259
20,151,Meta,Colombia,2020-10-25 04:24:36,21138,496,19507
21,152,Narino,Colombia,2020-10-25 04:24:36,21042,754,19010
22,153,Norte de Santander,Colombia,2020-10-25 04:24:36,19908,1032,17861
23,154,Putumayo,Colombia,2020-10-25 04:24:36,4274,197,3768
24,155,Quindio,Colombia,2020-10-25 04:24:36,8091,206,6626
25,156,Risaralda,Colombia,2020-10-25 04:24:36,15874,362,14128
26,157,San Andres y Providencia,Colombia,2020-10-25 04:24:36,1830,30,1729
27,158,Santander,Colombia,2020-10-25 04:24:36,39535,1606,34965
28,159,Sucre,Colombia,2020-10-25 04:24:36,15188,607,14114
29,160,Tolima,Colombia,2020-10-25 04:24:36,17313,534,15123
30,161,Unknown,Colombia,2020-10-25 04:24:36,0,0,0
31,162,Valle del Cauca,Colombia,2020-10-25 04:24:36,77589,2683,69938
32,163,Vaupes,Colombia,2020-10-25 04:24:36,1037,12,980
33,164,Vichada,Colombia,2020-10-25 04:24:36,755,9,736
